U10,Seed,Group,MssAlong,MssCross,MssTotal,Gamma,PrimaryMss,ShortWaveMss
1,1,Linear Elfouhaily,0.0117984490876931,0.00685337198919479,0.0186518210768879,0.762148661403241,0.00836009644720296,0.0102917246296849
1,1,MSS-Constrained Modified Lie,0.00645070619111727,0.00577502960043171,0.012225735791549,0.946179373902883,0.00536699342074736,0.00685874237080162
1,2,Linear Elfouhaily,0.0120124973343145,0.00687431796209879,0.0188868152964133,0.756481228532263,0.00839522724005686,0.0104915880563565
1,2,MSS-Constrained Modified Lie,0.00646767785858118,0.00577663458326528,0.0122443124418465,0.945068434178366,0.00532440083457936,0.00691991160726709
1,3,Linear Elfouhaily,0.0111312592753692,0.00679434947868168,0.0179256087540509,0.781271157419875,0.0084530337593055,0.00947257499474538
1,3,MSS-Constrained Modified Lie,0.00639517430208,0.00576691512403111,0.0121620894261111,0.949610672481349,0.00559555881646921,0.0065665306096419
1,4,Linear Elfouhaily,0.0115227563641151,0.00663504585861133,0.0181578022227264,0.758828746490669,0.00850679377496022,0.00965100844776621
1,4,MSS-Constrained Modified Lie,0.00642873887820796,0.00574648290957579,0.0121752217877837,0.945449130364653,0.00556432630253858,0.00661089548524517
1,5,Linear Elfouhaily,0.0115869280446742,0.00696204778586805,0.0185489758305422,0.775147489730274,0.00833295691753156,0.0102160189130107
1,5,MSS-Constrained Modified Lie,0.00643284307681313,0.00578792831245883,0.012220771389272,0.94854970445621,0.00537125797115195,0.00684951341812001
1,6,Linear Elfouhaily,0.0113712482450623,0.0068622186653338,0.0182334669103961,0.776833965638292,0.00823007374218127,0.0100033931682148
1,6,MSS-Constrained Modified Lie,0.00641590466326645,0.00577554199971519,0.0121914466629816,0.948784152804429,0.00537664423313841,0.00681480242984323
1,7,Linear Elfouhaily,0.0113320714500617,0.00678825846038743,0.0181203299104491,0.773970722609809,0.00849204556038786,0.00962828435006129
1,7,MSS-Constrained Modified Lie,0.00641244754431604,0.005766598290064,0.01217904583438,0.948304773515286,0.00556437568501512,0.00661467014936493
1,8,Linear Elfouhaily,0.0119479574654768,0.0068926427935129,0.0188406002589897,0.759531958323674,0.00854235986528237,0.0102982403937073
1,8,MSS-Constrained Modified Lie,0.00646296754980099,0.00577928707152742,0.0122422546213284,0.945629791768338,0.00541973552291571,0.00682251909841271
1,9,Linear Elfouhaily,0.0114764326059704,0.00658903489106735,0.0180654674970378,0.757717727874854,0.00853990794053438,0.00952555955650341
1,9,MSS-Constrained Modified Lie,0.00642225249084127,0.00574033280853161,0.0121625852993729,0.945420136780333,0.00561363606753693,0.00654894923183595
1,10,Linear Elfouhaily,0.0116119467419621,0.00694471089226411,0.0185566576342262,0.773347289593101,0.00853838086036476,0.0100182767738615
1,10,MSS-Constrained Modified Lie,0.00643572610545758,0.00578540496907676,0.0122211310745343,0.948130474332354,0.00549419945518314,0.00672693161935121
1,11,Linear Elfouhaily,0.011502436304781,0.00703623844714244,0.0185386747519234,0.782123537308424,0.00841652844464223,0.0101221463072812
1,11,MSS-Constrained Modified Lie,0.0064275198227956,0.00579757913726077,0.0122250989600564,0.949733222771257,0.00542346077029324,0.00680163818976312
1,12,Linear Elfouhaily,0.0112573756267779,0.00663521017233567,0.0178925857991136,0.767730444818678,0.00829340634953964,0.00959917944957394
1,12,MSS-Constrained Modified Lie,0.00640509944493205,0.00574593564161507,0.0121510350865471,0.947147113747942,0.00549995830455031,0.00665107678199681
1,13,Linear Elfouhaily,0.0115858719693386,0.006880723112019,0.0184665950813576,0.77064200706834,0.00824721447833057,0.010219380603027
1,13,MSS-Constrained Modified Lie,0.00643320869350936,0.00577744165754655,0.0122106503510559,0.947663086344668,0.00532627884179379,0.00688437150926211
1,14,Linear Elfouhaily,0.011517474563933,0.00683272622322378,0.0183502007871568,0.770226362084903,0.00817777328421427,0.0101724275029426
1,14,MSS-Constrained Modified Lie,0.00642630852900512,0.00577183686058495,0.0121981453895901,0.947711689688754,0.00530324467057993,0.00689490071901015
1,15,Linear Elfouhaily,0.011565479211998,0.00691701101462195,0.0184824902266199,0.773352364051108,0.0082295688771912,0.0102529213494287
1,15,MSS-Constrained Modified Lie,0.00643041181608949,0.00578218646174837,0.0122125982778379,0.948258300216972,0.00531204164266913,0.00690055663516873
1,16,Linear Elfouhaily,0.0114988563601602,0.00670231295332024,0.0182011693134804,0.763457783015634,0.00842857889804852,0.00977259041543188
1,16,MSS-Constrained Modified Lie,0.00642584750068417,0.00575569743857005,0.0121815449392542,0.946419698076157,0.005527833433687,0.00665371150556722
1,17,Linear Elfouhaily,0.0119266934289132,0.00704597897584464,0.0189726724047579,0.768618163948465,0.00825573773771224,0.0107169346670456
1,17,MSS-Constrained Modified Lie,0.00646026879662515,0.00579835691268087,0.012258625709306,0.947386469885104,0.00521148956695361,0.00704713614235241
1,18,Linear Elfouhaily,0.0115163228070085,0.00673005785515853,0.018246380662167,0.764455982855617,0.00834480766840531,0.00990157299376168
1,18,MSS-Constrained Modified Lie,0.00642752851796418,0.00575891005628967,0.0121864385742539,0.946559986392181,0.00544830630830109,0.00673813226595276
1,19,Linear Elfouhaily,0.0113301072650047,0.0070008355475984,0.0183309428126031,0.786064036708613,0.00844409071605415,0.00988685209654893
1,19,MSS-Constrained Modified Lie,0.00641059391147303,0.00579171571215752,0.0122023096236305,0.950505172922111,0.00547495375223571,0.00672735587139484
1,20,Linear Elfouhaily,0.0119110677861817,0.00695556218712575,0.0188666299733074,0.764171384374779,0.00857266697065349,0.0102939630026539
1,20,MSS-Constrained Modified Lie,0.00645957174104871,0.00578724775597753,0.0122468194970262,0.946529545082879,0.00543303428635733,0.00681378521066891
2,1,Linear Elfouhaily,0.0130338794726262,0.00795174738029301,0.0209856268529193,0.781078056394848,0.00838319397694663,0.0126024328759726
2,1,MSS-Constrained Modified Lie,0.00964439564055546,0.00788724491500734,0.0175316405555628,0.904326285398121,0.00690299696457265,0.0106286435909902
2,2,Linear Elfouhaily,0.0132946466309817,0.00804517922235717,0.0213398258533389,0.777910193656071,0.00841854428170476,0.0129212815716341
2,2,MSS-Constrained Modified Lie,0.00967247152395558,0.00789982794379205,0.0175722994677476,0.903732886490054,0.00682222675745412,0.0107500727102935
2,3,Linear Elfouhaily,0.012261562759435,0.00790747288437452,0.0201690356438095,0.803056206599976,0.00847607324228261,0.0116929624015269
2,3,MSS-Constrained Modified Lie,0.00955720204414451,0.00787989417794218,0.0174370962220867,0.908018734197558,0.00721425449801217,0.0102228417240745
2,4,Linear Elfouhaily,0.0127362899132983,0.00768775028164856,0.0204240401949469,0.776923335117146,0.0085301170189936,0.0118939231759533
2,4,MSS-Constrained Modified Lie,0.00961221549376328,0.00784673045308976,0.017458945946853,0.903509280472443,0.00716605500721683,0.0102928909396362
2,5,Linear Elfouhaily,0.0128175453840761,0.00808527597587137,0.0209028213599474,0.794227631438822,0.00835624751671617,0.0125465738432313
2,5,MSS-Constrained Modified Lie,0.00961968339767478,0.00790608657355538,0.0175257699712302,0.906568017001292,0.00690494759621578,0.0106208223750144
2,6,Linear Elfouhaily,0.0125515866070568,0.00796473662084979,0.0205163232279066,0.796592835317084,0.0082530025384408,0.0122633206894658
2,6,MSS-Constrained Modified Lie,0.0095910745283762,0.00788846004438554,0.0174795345727617,0.906906432365576,0.00692749988963871,0.010552034683123
2,7,Linear Elfouhaily,0.012506595597551,0.00789672494582636,0.0204033205433774,0.794609864204285,0.00851498814290702,0.0118883324004704
2,7,MSS-Constrained Modified Lie,0.00958572666799303,0.00787882832833051,0.0174645549963235,0.906605393289973,0.00716853911533336,0.0102960158809902
2,8,Linear Elfouhaily,0.0132063263530286,0.00798672300364296,0.0211930493566716,0.777666334502759,0.0085654027657484,0.0126276465909232
2,8,MSS-Constrained Modified Lie,0.00966351098555118,0.0078916210032328,0.017555131988784,0.903682012030118,0.00697646710830405,0.0105786648804799
2,9,Linear Elfouhaily,0.0126954393287543,0.00766132618307,0.0203567655118243,0.776833792594742,0.00856311580296916,0.0117936497088551
2,9,MSS-Constrained Modified Lie,0.00960405048297711,0.00784248712779783,0.0174465376107749,0.903648829026121,0.00721024340147722,0.0102362942092977
2,10,Linear Elfouhaily,0.0127798004977594,0.00803877268555396,0.0208185731833133,0.793108924784751,0.00856177464360464,0.0122567985397087
2,10,MSS-Constrained Modified Lie,0.00961656015537619,0.00789883187136951,0.0175153920267457,0.906299120650138,0.00709248206442235,0.0104229099623234
2,11,Linear Elfouhaily,0.0126923480430268,0.00817327491990619,0.020865622962933,0.802466788389485,0.00843978284099295,0.0124258401219401
2,11,MSS-Constrained Modified Lie,0.00960790564503674,0.00791945443382581,0.0175273600788625,0.90789007297281,0.00698994360735929,0.0105374164715033
2,12,Linear Elfouhaily,0.0124627614848282,0.00771285767802217,0.0201756191628504,0.786684361761338,0.00831637635650097,0.0118592428063494
2,12,MSS-Constrained Modified Lie,0.00957931096789005,0.00784989181889235,0.0174292027867824,0.90524200937678,0.00706670325415472,0.0103624995326277
2,13,Linear Elfouhaily,0.0127648147364851,0.00802813796284894,0.020792952699334,0.793049244250873,0.00827032743519379,0.0125226252641402
2,13,MSS-Constrained Modified Lie,0.00961438510051289,0.00789732248430165,0.0175117075848145,0.90631502428497,0.00685570058896827,0.0106560069958463
2,14,Linear Elfouhaily,0.0126927643637796,0.00793288947184938,0.020625653835629,0.790565017430906,0.0082006011259518,0.0124250527096771
2,14,MSS-Constrained Modified Lie,0.00960460882083457,0.00788374973352159,0.0174883585543562,0.905996612608165,0.00683649813648593,0.0106518604178702
2,15,Linear Elfouhaily,0.0127944177570397,0.00806553572172196,0.0208599534787616,0.793974118911822,0.00825235367844592,0.0126075998003157
2,15,MSS-Constrained Modified Lie,0.00961620662534398,0.00790304842947174,0.0175192550548157,0.906557652759313,0.00682173572597637,0.0106975193288394
2,16,Linear Elfouhaily,0.012708217067402,0.00776468412514894,0.0204729011925509,0.781663052474568,0.00845164062714786,0.0120212605654031
2,16,MSS-Constrained Modified Lie,0.00960782986565653,0.00785906867217594,0.0174668985378325,0.904425689838948,0.00710949073713214,0.0103574078007003
2,17,Linear Elfouhaily,0.0132319561926109,0.0082108733679582,0.0214428295605691,0.787739548790562,0.00827851333605127,0.0131643162245178
2,17,MSS-Constrained Modified Lie,0.00966497905947496,0.00792439939976543,0.0175893784592404,0.905488042347975,0.0066831810473172,0.0109061974119232
2,18,Linear Elfouhaily,0.0126686045530796,0.00781363237064272,0.0204822369237223,0.785347918432095,0.00836766238883687,0.0121145745348854
2,18,MSS-Constrained Modified Lie,0.00960366725372485,0.00786605361008267,0.0174697208638075,0.905023588609702,0.00702590357667343,0.0104438172871341
2,19,Linear Elfouhaily,0.0125519996758216,0.00814631089358743,0.0206983105694091,0.80560848270389,0.00846737445259611,0.0122309361168129
2,19,MSS-Constrained Modified Lie,0.00958861926185065,0.00791378076072638,0.017502400022577,0.908477069974108,0.00703865973754304,0.010463740285034
2,20,Linear Elfouhaily,0.0131562585671044,0.0080823081988307,0.0212385667659351,0.783793221836318,0.00859576986934655,0.0126427968965885
2,20,MSS-Constrained Modified Lie,0.00965747322465015,0.00790580241271937,0.0175632756373695,0.904776311648184,0.00699054477011763,0.0105727308672519
3,1,Linear Elfouhaily,0.014249003127631,0.00895215416697792,0.023201157294609,0.792631879216515,0.00849260747202012,0.0147085498225888
3,1,MSS-Constrained Modified Lie,0.0120765151088604,0.00966792325353548,0.0217444383623959,0.894737794246458,0.00786548543012275,0.0138789529322731
3,2,Linear Elfouhaily,0.0145313913014268,0.0090502292425087,0.0235816205439355,0.789180219349552,0.00852826135242518,0.0150533591915103
3,2,MSS-Constrained Modified Lie,0.0121113866027382,0.0096823532830939,0.0217937398858321,0.894115304589397,0.00777594654754402,0.0140177933382881
3,3,Linear Elfouhaily,0.0134510863359843,0.00886853256871655,0.0223196189047009,0.811983496852733,0.00858628165937702,0.0137333372453238
3,3,MSS-Constrained Modified Lie,0.0119734386900471,0.00965350650156397,0.0216269451916111,0.89791060169804,0.00821925621693716,0.0134076889746739
3,4,Linear Elfouhaily,0.0139609949982766,0.00863328883922591,0.0225942838375025,0.786375455589595,0.008641434007431,0.0139528498300715
3,4,MSS-Constrained Modified Lie,0.0120409282466809,0.00961473407924741,0.0216556623259283,0.893590729144132,0.00816281135778663,0.0134928509681417
3,5,Linear Elfouhaily,0.0140148750132961,0.00908866903395808,0.0231035440472542,0.80529597770285,0.00846532306628559,0.0146382209809686
3,5,MSS-Constrained Modified Lie,0.0120459215470003,0.00968891830454393,0.0217348398515443,0.896845496816137,0.0078717826513473,0.0138630572001969
3,6,Linear Elfouhaily,0.013768541277383,0.00895033227806363,0.0227188735554466,0.806260927617311,0.00836074709952958,0.0143581264559171
3,6,MSS-Constrained Modified Lie,0.01201574927549,0.0096668375575074,0.0216825868329974,0.896946999834146,0.00788716638182381,0.0137954204511736
3,7,Linear Elfouhaily,0.0137161229455026,0.00888853506786829,0.0226046580133709,0.805006543304663,0.00862576080364848,0.0139788972097224
3,7,MSS-Constrained Modified Lie,0.0120086720204376,0.00965735895653982,0.0216660309769775,0.896771288595718,0.00815999943342565,0.0135060315435518
3,8,Linear Elfouhaily,0.0143727598478817,0.00893953002960975,0.0233122898774914,0.788655359934211,0.00867666597050159,0.0146356239069899
3,8,MSS-Constrained Modified Lie,0.0120923300827924,0.00966498703800254,0.0217573171207949,0.894016720185478,0.00798410111662935,0.0137732160041656
3,9,Linear Elfouhaily,0.0139063549520862,0.00861868142501542,0.0225250363771016,0.787251975050184,0.0086745316765054,0.0138505047005963
3,9,MSS-Constrained Modified Lie,0.0120297361327317,0.00961207491179774,0.0216418110445295,0.893882680653506,0.00820818318059262,0.0134336278639369
3,10,Linear Elfouhaily,0.0139307994687016,0.0089801414150289,0.0229109408837305,0.802885412859721,0.00867342576590536,0.0142375151178252
3,10,MSS-Constrained Modified Lie,0.0120364088956135,0.00967102850443782,0.0217074374000513,0.896371139677912,0.00811586319390444,0.0135915742061468
3,11,Linear Elfouhaily,0.0139069377534755,0.00916709581141771,0.0230740335648932,0.811895491675444,0.00854996007555378,0.0145240734893394
3,11,MSS-Constrained Modified Lie,0.0120347062886302,0.00970199877191195,0.0217367050605422,0.89786875720732,0.00796912019332506,0.0137675848672171
3,12,Linear Elfouhaily,0.0137379442729615,0.00869527911090321,0.0224332233838647,0.795574561927794,0.00842483513156711,0.0140083882522976
3,12,MSS-Constrained Modified Lie,0.0120098943378896,0.00962429626473888,0.0216341906026285,0.89518933281961,0.00801414877049671,0.0136200418321318
3,13,Linear Elfouhaily,0.0139607922434306,0.00905146085292635,0.0230122530963569,0.80520100192903,0.00837852473777791,0.014633728358579
3,13,MSS-Constrained Modified Lie,0.0120396888200127,0.00968255212978986,0.0217222409498026,0.896782842912179,0.00780986496417965,0.0139123759856229
3,14,Linear Elfouhaily,0.013921931553494,0.00889845256581485,0.0228203841193088,0.799479804773576,0.00830790741093546,0.0145124767083734
3,14,MSS-Constrained Modified Lie,0.0120327474349767,0.00965845075990763,0.0216911981948844,0.895924338093535,0.00778757435101321,0.0139036238438711
3,15,Linear Elfouhaily,0.0140075285207241,0.0090377595894306,0.0230452881101547,0.803247966203342,0.00836003531070701,0.0146852527994477
3,15,MSS-Constrained Modified Lie,0.012043946797005,0.00968061148451761,0.0217245582815226,0.896534447702292,0.0077798292352693,0.0139447290462533
