Group,U10,AlongMedian,AlongQ05,AlongQ95,CrossMedian,CrossQ05,CrossQ95,TotalMedian,TotalQ05,TotalQ25,TotalQ75,TotalQ95,GammaMedian
Linear Elfouhaily,1,0.011522492274106,0.0112510698092075,0.0120092703408726,0.00687371299726054,0.00663274531023414,0.00704549194940953,0.0184607753666475,0.017923957606304,0.0181990009589427,0.0186470629047548,0.0189683795493407,0.769422263016684
Linear Elfouhaily,2,0.0127348862710035,0.0124527015485585,0.0132915121090632,0.0079856236845033,0.00768642907671963,0.0082089934455556,0.0207882205928378,0.0201752899868983,0.0204704581426707,0.0209814865782707,0.0214376793752076,0.789152283110734
Linear Elfouhaily,3,0.0139560646418249,0.0137028711150267,0.0145290965563823,0.0089520630725322,0.00863255846851539,0.00920941873009792,0.0229114422852425,0.0224275431599065,0.0226338393636338,0.0231962766322412,0.023691366547235,0.798463499729553
Linear Elfouhaily,4,0.0168510997466447,0.0165676979280777,0.0174457178204321,0.0112446037196201,0.0108797057560856,0.0115134690384907,0.0281207111261611,0.0276488947692545,0.0277593335493995,0.0283019123938126,0.0288757646611159,0.813746444040406
Linear Elfouhaily,5,0.019179895015845,0.018825719182148,0.0198109926625357,0.0130250692785577,0.0127087791694353,0.0133794229451098,0.0321779696076078,0.0316652691411828,0.0319171650379697,0.0324070697837643,0.0330448434672151,0.822362682601017
Linear Elfouhaily,6,0.0211140769533664,0.0207329288412008,0.0218413683202527,0.0144608665852491,0.0142090063720473,0.0148562252565156,0.0356354250698004,0.0349993802079883,0.0353230734514594,0.0359075244835859,0.0364162967492059,0.828584485030003
Linear Elfouhaily,7,0.0241926789995269,0.0235448870214482,0.0250212897628347,0.016731324378536,0.0163782778833452,0.0172019219591766,0.0410834083428972,0.0402453195896606,0.0406213786078047,0.0415027186749439,0.0419277509851672,0.834265327991803
Linear Elfouhaily,8,0.0285905999987689,0.0276137819882785,0.0296827466303794,0.0200915206471267,0.019521400506945,0.0206045851158904,0.0487771493494985,0.0476049224387081,0.0480662608049276,0.0493601838149098,0.0499178653030382,0.837483532022712
Linear Elfouhaily,9,0.0326008195480353,0.0314419048645124,0.0340593601304807,0.0230536699246993,0.0223036046991772,0.0235796006039667,0.0555701242122485,0.0542130721530319,0.0547375484806698,0.0563189257960903,0.0570989357006443,0.838669858016764
Linear Elfouhaily,10,0.0362502103121654,0.034972776975959,0.0381537119335304,0.0256412952599949,0.0247377952167165,0.0261752044261207,0.0615564041316957,0.0602269089989304,0.0609752421287794,0.0625020692948161,0.0636143222355911,0.837989491378635
MSS-Constrained Modified Lie,1,0.00642867836019577,0.00640460318778945,0.00646744234314217,0.00577657995408777,0.0057456554999609,0.00579831802390986,0.0122102333146846,0.0121615367091329,0.0121814199840105,0.0122257039499743,0.012258035398692,0.947524778114886
MSS-Constrained Modified Lie,2,0.00961200000132696,0.00957820552170278,0.00967209690073154,0.00789146295529044,0.00784651828682516,0.00792415215146845,0.0175112422067027,0.0174367015503215,0.017466781360757,0.0175314265317278,0.0175885245096657,0.90574232747807
MSS-Constrained Modified Lie,3,0.0120389049655736,0.0120069103539181,0.0121110615357889,0.00966786896873407,0.00961460112087493,0.00970816443663899,0.0217083293555419,0.0216338283320776,0.0216659889332699,0.0217440516973032,0.0218123924928996,0.895742987581529
MSS-Constrained Modified Lie,4,0.0144109199952506,0.0143744756895256,0.0144845026243027,0.0114410755436318,0.0113846326947875,0.011481654447194,0.0258526030983446,0.0257804767089463,0.0258073714715282,0.0258786072213605,0.0259559035042243,0.89055978817753
MSS-Constrained Modified Lie,5,0.0168622773884304,0.0168169967302832,0.01694436556965,0.0131625375981082,0.0131140758957003,0.013215551168626,0.0300211662674484,0.0299491939947892,0.0299766809571521,0.0300506312524958,0.0301411765591748,0.883225502589981
MSS-Constrained Modified Lie,6,0.0193772787805681,0.0193269853412684,0.0194767364928405,0.0147915018291126,0.0147523648414811,0.014851442906685,0.0341766902006375,0.0340878233443727,0.0341295150377287,0.0342198601186371,0.0342905259587984,0.873825829536911
MSS-Constrained Modified Lie,7,0.0222426073825654,0.0221548697241215,0.0223559248414244,0.0165413383742022,0.0164891303042993,0.0166107221068532,0.0388105815334717,0.0386906186018246,0.0387444130059183,0.0388609111211216,0.0389236251017414,0.862752538270013
MSS-Constrained Modified Lie,8,0.0257719058502087,0.0256374485444026,0.0259137500497593,0.0186933831674783,0.0186135656864558,0.0187647416616638,0.0444802776755418,0.0443169438844447,0.0443806663654825,0.0445529100717429,0.044627729647564,0.851611041777643
MSS-Constrained Modified Lie,9,0.0291558367648009,0.0289996855380091,0.0293479269141179,0.0208416783386883,0.0207381535164195,0.0209117989552855,0.0499839527467759,0.0498020480747907,0.0498746230276078,0.0500831276910117,0.0501863834890372,0.845142618257693
MSS-Constrained Modified Lie,10,0.032494433329443,0.0323209895244067,0.0327440130994428,0.0230233516424363,0.0228993445987163,0.0230940797527112,0.0554702161687501,0.0552906282637714,0.0553939036155743,0.0555957816590272,0.0557410267029764,0.841296245277028
