U10,CoxMunkAlong,CoxMunkCross,CoxMunkTotal,GuerinAlong,GuerinCross,GuerinTotal,GuerinGamma,TgrsHuAlong,TgrsHuCross,TgrsHuTotal,TgrsGamma,ElfouhailyAlong,ElfouhailyCross,ElfouhailyTotal,ElfouhailyGamma,EmpiricalAlong,EmpiricalCross,EmpiricalTotal,EmpiricalGamma
10,0.0322448979591837,0.0225918367346939,0.0548367346938776,0.0323,0.022,0.0543,0.825296644294396,0.0310335666385723,0.0231664333614277,0.0542,0.864,0.0356046597076601,0.02486473747153,0.0604693971791901,0.835677134704415,0.0310335666385723,0.0231664333614277,0.0542,0.864
12,0.0386938775510204,0.0265102040816327,0.0652040816326531,0.0398,0.0272,0.067,0.826690441112715,0.0368967349481476,0.0275432650518524,0.06444,0.864,0.0420325822752591,0.0291091029807445,0.0711416852560036,0.83218785885045,0.0368967349481476,0.0275432650518524,0.06444,0.864
14,0.0451428571428571,0.0304285714285714,0.0755714285714286,0.0452,0.031,0.0762,0.828155002378541,0.0424654101261021,0.0317002587974947,0.0741656689235968,0.864,0.047737702441129,0.0325925383638657,0.0803302408049947,0.82628208391268,0.0424654101261021,0.0317002587974947,0.0741656689235968,0.864
16,0.0515918367346939,0.0343469387755102,0.0859387755102041,NaN,NaN,NaN,NaN,0.0470476643556685,0.0351208932508491,0.0821685576065176,0.864,0.0529143390448457,0.0354953809030802,0.088409719947926,0.819028911736266,0.0470476643556685,0.0351208932508491,0.0821685576065176,0.864
18,0.0580408163265306,0.038265306122449,0.0963061224489796,NaN,NaN,NaN,NaN,0.0510894990336401,0.0381381066706162,0.0892276057042562,0.864,0.0576856185797433,0.0379409410972221,0.0956265596769653,0.810998913700985,0.0510894990336401,0.0381381066706162,0.0892276057042562,0.864
20,0.0644897959183673,0.0421836734693878,0.106673469387755,NaN,NaN,NaN,NaN,0.0547050433563143,0.0408370960453152,0.0955421394016294,0.864,0.0621332056835534,0.0400187811374189,0.102151986820972,0.802546209753587,0.0547050433563143,0.0408370960453152,0.0955421394016294,0.864
22,0.0709387755102041,0.0461020408163265,0.117040816326531,NaN,NaN,NaN,NaN,0.0579757010342219,0.0432786289192425,0.101254329953464,0.864,0.0663130440172263,0.0417970241472547,0.108110068164481,0.793913522084829,0.0579757010342219,0.0432786289192425,0.101254329953464,0.864
24,0.0773877551020408,0.0500204081632653,0.127408163265306,NaN,NaN,NaN,NaN,0.0609615775565484,0.0455075737996532,0.106469151356202,0.864,0.0702644156819917,0.043329315180617,0.113593730862609,0.785277570381417,0.0609615775565484,0.0455075737996532,0.106469151356202,0.864
26,0.0838367346938775,0.0539387755102041,0.137775510204082,NaN,NaN,NaN,NaN,0.0637083176943852,0.0475580043255877,0.111266322019973,0.864,0.0740155061009338,0.044658968740322,0.118674474841256,0.776770973719961,0.0637083176943852,0.0475580043255877,0.111266322019973,0.864
28,0.0902857142857143,0.0578571428571429,0.148142857142857,NaN,NaN,NaN,NaN,0.0662514018498905,0.0494564064753358,0.115707808325226,0.864,0.0775869976970025,0.0458215528352521,0.123408550532255,0.768493906072622,0.0662514018498905,0.0494564064753358,0.115707808325226,0.864
30,0.096734693877551,0.0617755102040816,0.158510204081633,NaN,NaN,NaN,NaN,0.0686189565571942,0.0512237765941192,0.119842733151313,0.864,0.0809944758767623,0.0468465707629419,0.127841046639704,0.760520986736308,0.0686189565571942,0.0512237765941192,0.119842733151313,0.864
32,0.103183673469388,0.0656938775510204,0.168877551020408,NaN,NaN,NaN,NaN,0.0708336560794568,0.0528770409286902,0.123710697008147,0.864,0.0842500767466031,0.0477586092221716,0.132008685968775,0.752905869858174,0.0708336560794568,0.0528770409286902,0.123710697008147,0.864
34,0.109632653061224,0.0696122448979592,0.179244897959184,NaN,NaN,NaN,NaN,0.0729140464975764,0.0544300440542548,0.127344090551831,0.864,0.0873636265983196,0.0485781655696331,0.135941792167953,0.745684693289315,0.0729140464975764,0.0544300440542548,0.127344090551831,0.864
36,0.116081632653061,0.073530612244898,0.189612244897959,NaN,NaN,NaN,NaN,0.0748754907574284,0.0558942543484573,0.130769745105886,0.864,0.0903434279253191,0.0493222792086271,0.139665707133946,0.738878936496121,0.0748754907574284,0.0558942543484573,0.130769745105886,0.864
38,0.122530612244898,0.0774489795918367,0.199979591836735,NaN,NaN,NaN,NaN,0.0767308578623254,0.0572792784707944,0.13401013633312,0.864,0.0931967937686979,0.0500050404751319,0.14320183424383,0.732497936753782,0.0767308578623254,0.0572792784707944,0.13401013633312,0.864
40,0.128979591836735,0.0813673469387755,0.21034693877551,NaN,NaN,NaN,NaN,0.0784910350801026,0.0585932437231563,0.137084278803259,0.864,0.0959304011581214,0.05063801934882,0.146568420506941,0.726541163213557,0.0784910350801026,0.0585932437231563,0.137084278803259,0.864
