Group,U10,AlongMedian,CrossMedian,TotalMedian,TotalQ05,TotalQ95,GammaMedian
Linear Elfouhaily,10,0.0362307526226329,0.0255661046603681,0.0615532678293892,0.0602269089989304,0.0635835766632297,0.837989491378635
Linear Elfouhaily,12,0.0426793474664218,0.029898957417821,0.0724303049168178,0.0706067254176506,0.0748115117841243,0.83266031220644
Linear Elfouhaily,14,0.0485765401525681,0.0334202061468886,0.0819956011359278,0.0795320050745828,0.0842231021028105,0.825150581046851
Linear Elfouhaily,16,0.0536263797773671,0.0362809544910153,0.0898767015396676,0.0875210046294538,0.0921989216728417,0.816511676935161
Linear Elfouhaily,18,0.0581795240406464,0.0387307370393829,0.0969264644544683,0.09465422308336,0.099330342134438,0.808726065905109
Linear Elfouhaily,20,0.0624940857588832,0.0407316541615806,0.103450058455193,0.101076784645646,0.105381327977865,0.801346002466132
Linear Elfouhaily,22,0.0665310573898788,0.042489815779713,0.109283748784885,0.107015673035014,0.111716371851612,0.794062731108037
Linear Elfouhaily,24,0.07052440849465,0.0440080043446235,0.114806396544134,0.112184961801612,0.117686626541905,0.785177989149604
Linear Elfouhaily,26,0.0743977562074052,0.0452923576983449,0.119923864548007,0.116973978765304,0.123175851872785,0.777590085920206
Linear Elfouhaily,28,0.0781637760817337,0.0464049554585688,0.124399392784363,0.121504699554171,0.12819961498489,0.768872083370384
Linear Elfouhaily,30,0.0818409360034993,0.0474013742038141,0.128848818383306,0.125674936005238,0.132791382196613,0.760578506590256
Linear Elfouhaily,32,0.0854657090269021,0.0482662373334522,0.133168019146692,0.129688499463156,0.137399564967363,0.753311312595869
Linear Elfouhaily,34,0.0889018193599564,0.0490790135240482,0.137364753517578,0.133623653314152,0.141695085931404,0.746047904757427
Linear Elfouhaily,36,0.092004969949274,0.0498327203847383,0.141532975818394,0.13749400894725,0.145712710907284,0.738110754553938
Linear Elfouhaily,38,0.0947747958593897,0.0505481986095609,0.145405329882819,0.141215298228923,0.14948768228769,0.731794605395463
Linear Elfouhaily,40,0.0972316970974945,0.0512073205483617,0.148663687257787,0.144381909614781,0.153052308534079,0.725454275224259
Raw Modified Lie,10,0.0363126390998589,0.0255873334419756,0.0616617197313247,0.060338937955309,0.0636817237806622,0.837439361287422
Raw Modified Lie,12,0.0427612416827258,0.0299162817578495,0.072548586607342,0.0707023890075251,0.0749252300398754,0.832197962856791
Raw Modified Lie,14,0.0486809181358629,0.0334375608602653,0.0821089898097914,0.079645987807908,0.0843237769375591,0.824628099790666
Raw Modified Lie,16,0.0537248492311371,0.036295695801904,0.0899897890744525,0.0876317204514178,0.0922852980445914,0.816100715650082
Raw Modified Lie,18,0.0582835479437189,0.038747455262149,0.097049647375515,0.0947687223263107,0.0994443553977703,0.808431040900357
Raw Modified Lie,20,0.0625928244035729,0.0407491168080737,0.103557908362053,0.101190914167128,0.105484185116522,0.800958376169787
Raw Modified Lie,22,0.0666326425463132,0.0425060476345019,0.109402805766514,0.107129395175518,0.111801907285251,0.793732592415274
Raw Modified Lie,24,0.0706255712175354,0.0440273260214638,0.114916464082099,0.112304699839149,0.11777161961213,0.784920142033865
Raw Modified Lie,26,0.0744951013140529,0.0453156716177608,0.120031729828696,0.117093492671435,0.123260725807735,0.777352121696212
Raw Modified Lie,28,0.0782575304475053,0.0464262061959514,0.124505855913607,0.121623786755511,0.128284167044859,0.768597743650738
Raw Modified Lie,30,0.0819306456328585,0.047422550386865,0.128969685175248,0.12577689905414,0.132884676954956,0.760354377590786
Raw Modified Lie,32,0.0855552074563886,0.0482888914082211,0.133288155355814,0.129790021137674,0.137496356571416,0.753103104171206
Raw Modified Lie,34,0.0889837524981796,0.0491016189979759,0.137476086832411,0.133724942982746,0.141791966169492,0.745827388215935
Raw Modified Lie,36,0.0920784281183512,0.0498552570755761,0.141643967415919,0.137594985336526,0.145809284681011,0.737904233792257
Raw Modified Lie,38,0.094855042307304,0.0505679872517743,0.145515776621508,0.141333053582864,0.149583964512989,0.731582064035675
Raw Modified Lie,40,0.0973117164335497,0.0512269998343099,0.148773825887891,0.144486026960797,0.153148313537613,0.725298365593261
MSS-Constrained Modified Lie,10,0.0312782891842071,0.0232818425821104,0.0545489311490226,0.0544886732172104,0.0546355518255007,0.862652168017223
MSS-Constrained Modified Lie,12,0.037169870682754,0.0276573111888082,0.0648210029194897,0.0647342017142871,0.064922458723157,0.862381413235771
MSS-Constrained Modified Lie,14,0.0427564324163945,0.0317849399959321,0.0745390440823809,0.0744279268393135,0.0746374830647451,0.861987483958486
MSS-Constrained Modified Lie,16,0.0473608865437477,0.0351787198663199,0.0825363877817929,0.0824302590334989,0.0826398912258826,0.861539593345788
MSS-Constrained Modified Lie,18,0.0514271202283635,0.0381683447415597,0.0895948061285511,0.0894898923518153,0.0896993253584372,0.861132933683719
MSS-Constrained Modified Lie,20,0.0550747081230286,0.04083269166482,0.0959178481943272,0.0958064354580988,0.0960036113643494,0.860733188633808
MSS-Constrained Modified Lie,22,0.0583805311749886,0.0432396682750502,0.101634586107648,0.10152460883703,0.101735095227554,0.860343267224058
MSS-Constrained Modified Lie,24,0.0614117513109347,0.0454323931030433,0.106858891882527,0.106733057795926,0.106976561064189,0.859863131543575
MSS-Constrained Modified Lie,26,0.0642085283356627,0.0474432969934288,0.111661051892342,0.111524746772192,0.111795686183378,0.859446633327308
MSS-Constrained Modified Lie,28,0.0668054085550836,0.0493003030590382,0.116099084184313,0.115964214576283,0.116252720864344,0.858960060146574
MSS-Constrained Modified Lie,30,0.069229981511698,0.0510266738790585,0.120232318064906,0.120097059711139,0.120409882921473,0.858497129716478
MSS-Constrained Modified Lie,32,0.0715055903559519,0.0526376078754878,0.124111482789089,0.123964751352786,0.124301344426888,0.858085921789155
MSS-Constrained Modified Lie,34,0.0736437962965637,0.0541503836613568,0.127759664768092,0.127604478584602,0.127953981329393,0.857669507086513
MSS-Constrained Modified Lie,36,0.075653772839776,0.0555756243861742,0.131202859211841,0.13104059168304,0.131395242308925,0.857211606485828
MSS-Constrained Modified Lie,38,0.0775487062951389,0.0569234794216373,0.134464493412242,0.134288768682472,0.13464826542631,0.856842874366519
MSS-Constrained Modified Lie,40,0.0793391073724239,0.0582009545902006,0.137543809462594,0.137371248740078,0.137732709472842,0.856473420629696
